TimeEntry,Machine,Power,Mode,Execution,Program,Line,Sload,Xload,Yload,Zload,Aload,Bload,Cload,Tool,RPM,AlarmState,AlarmSeverity,Alarm,PartsCount,Feedrate
12/11/2009 14:31:03,m25709.nw.nos.boeing.com/Mazak1,ON,PAUSED,EXECUTING,9991,0,0,0,0,39,0,,0,0,0,ACTIVE,ERROR,ALarM Status Set,,
12/11/2009 14:31:14,m25709.nw.nos.boeing.com/Mazak1,ON,PAUSED,EXECUTING,9991,0,0,0,0,39,0,,0,0,0,ACTIVE,ERROR,ALarM Status Set,,
12/11/2009 14:31:25,m25709.nw.nos.boeing.com/Mazak1,ON,PAUSED,EXECUTING,9991,0,0,1,0,39,0,,0,0,0,ACTIVE,ERROR,ALarM Status Set,,
12/11/2009 14:31:36,m25709.nw.nos.boeing.com/Mazak1,ON,PAUSED,EXECUTING,9991,0,0,1,0,39,0,,0,0,0,CLEARED,INFO,,,
12/11/2009 14:31:47,m25709.nw.nos.boeing.com/Mazak1,ON,PAUSED,EXECUTING,9991,0,0,1,0,39,0,,0,0,0,CLEARED,INFO,,,
12/11/2009 14:31:59,m25709.nw.nos.boeing.com/Mazak1,ON,PAUSED,EXECUTING,9991,0,0,0,0,39,0,,0,0,0,CLEARED,INFO,,,
12/11/2009 14:32:10,m25709.nw.nos.boeing.com/Mazak1,ON,PAUSED,EXECUTING,9991,0,0,1,0,39,0,,0,0,0,ACTIVE,ERROR,ALarM Status Set,,
12/11/2009 14:32:21,m25709.nw.nos.boeing.com/Mazak1,ON,PAUSED,EXECUTING,9991,0,0,1,0,39,0,,0,0,0,ACTIVE,ERROR,ALarM Status Set,,
12/11/2009 14:32:32,m25709.nw.nos.boeing.com/Mazak1,ON,PAUSED,EXECUTING,9991,0,0,0,0,39,0,,0,0,0,ACTIVE,ERROR,ALarM Status Set,,
12/11/2009 14:32:43,m25709.nw.nos.boeing.com/Mazak1,ON,PAUSED,EXECUTING,9991,0,0,0,0,39,0,,0,0,0,ACTIVE,ERROR,ALarM Status Set,,
12/11/2009 14:32:54,m25709.nw.nos.boeing.com/Mazak1,ON,PAUSED,EXECUTING,9991,0,0,0,0,39,0,,0,0,0,ACTIVE,ERROR,ALarM Status Set,,
12/11/2009 14:33:06,m25709.nw.nos.boeing.com/Mazak1,ON,MANUAL,EXECUTING,9991,0,0,1,0,39,0,,0,0,0,ACTIVE,ERROR,ALarM Status Set,,
12/11/2009 14:33:17,m25709.nw.nos.boeing.com/Mazak1,ON,MANUAL,EXECUTING,9991,0,0,0,0,39,0,,0,0,0,ACTIVE,ERROR,ALarM Status Set,,
12/11/2009 14:33:28,m25709.nw.nos.boeing.com/Mazak1,ON,MANUAL,EXECUTING,9991,0,0,1,0,39,0,,0,0,0,CLEARED,INFO,,,
12/11/2009 14:33:39,m25709.nw.nos.boeing.com/Mazak1,ON,MANUAL,EXECUTING,9991,0,0,0,0,39,0,,0,0,0,CLEARED,INFO,,,
12/11/2009 14:33:50,m25709.nw.nos.boeing.com/Mazak1,ON,MANUAL,EXECUTING,9991,0,0,0,0,39,0,,0,0,0,ACTIVE,ERROR,ALarM Status Set
12/11/2009 14:34:01,m25709.nw.nos.boeing.com/Mazak1,ON,MANUAL,EXECUTING,9991,0,0,0,0,39,0,,0,0,0,ACTIVE,ERROR,ALarM Status Set
12/11/2009 14:34:12,m25709.nw.nos.boeing.com/Mazak1,ON,MANUAL,EXECUTING,9991,0,0,1,0,39,0,,0,0,0,ACTIVE,ERROR,ALarM Status Set
12/11/2009 14:34:23,m25709.nw.nos.boeing.com/Mazak1,ON,MANUAL,EXECUTING,9991,0,0,0,0,39,0,,0,0,0,ACTIVE,ERROR,ALarM Status Set
12/11/2009 14:34:35,m25709.nw.nos.boeing.com/Mazak1,ON,MANUAL,EXECUTING,9991,0,0,1,0,39,0,,0,0,0,ACTIVE,ERROR,ALarM Status Set
12/11/2009 14:34:46,m25709.nw.nos.boeing.com/Mazak1,ON,MANUAL,EXECUTING,9991,0,0,0,0,39,0,,0,0,0,ACTIVE,ERROR,ALarM Status Set
12/11/2009 14:34:57,m25709.nw.nos.boeing.com/Mazak1,ON,MANUAL,EXECUTING,9991,0,0,0,0,39,0,,0,0,0,ACTIVE,ERROR,ALarM Status Set
12/11/2009 14:35:08,m25709.nw.nos.boeing.com/Mazak1,ON,MANUAL,EXECUTING,9991,0,0,1,0,39,0,,0,0,0,ACTIVE,ERROR,ALarM Status Set
12/11/2009 14:35:19,m25709.nw.nos.boeing.com/Mazak1,ON,MANUAL,EXECUTING,9991,0,0,0,0,39,0,,0,0,0,ACTIVE,ERROR,ALarM Status Set
12/11/2009 14:35:30,m25709.nw.nos.boeing.com/Mazak1,ON,MANUAL,EXECUTING,9991,0,0,0,0,39,0,,0,0,0,ACTIVE,ERROR,ALarM Status Set
12/11/2009 14:35:41,m25709.nw.nos.boeing.com/Mazak1,ON,MANUAL,EXECUTING,9991,0,0,0,0,39,0,,0,0,0,ACTIVE,ERROR,ALarM Status Set
12/11/2009 14:35:52,m25709.nw.nos.boeing.com/Mazak1,ON,MANUAL,EXECUTING,9991,0,0,0,0,39,0,,0,0,0,ACTIVE,ERROR,ALarM Status Set
12/11/2009 14:36:03,m25709.nw.nos.boeing.com/Mazak1,ON,MANUAL,EXECUTING,9991,0,0,1,0,39,0,,0,0,0,ACTIVE,CRITICAL,EMerGency Status Set
12/11/2009 14:36:15,m25709.nw.nos.boeing.com/Mazak1,ON,MANUAL,EXECUTING,9991,0,0,0,0,0,0,,0,0,0,ACTIVE,CRITICAL,EMerGency Status Set
12/11/2009 14:36:26,m25709.nw.nos.boeing.com/Mazak1,ON,MANUAL,EXECUTING,9991,0,0,0,0,0,0,,0,0,0,ACTIVE,CRITICAL,EMerGency Status Set
